Codice;Operazione;Frequenza
16;Visualizzare l’operatore che ha chiuso più interventi;1 volta al giorno
17;Visualizzare il tipo di file più presente;1 volta al giorno
18;Visualizzare il numero di file preferiti per utente;1 volta al giorno
19;Visualizzare il numero di cartelle per utente;1 volta al giorno
20;Visualizzare il file più condiviso;1 volta al giorno
21;Visualizzare il file più visualizzato;1 volta al giorno
22;Visualizzare l’utente che ha aperto più segnalazioni;1 volta al giorno
23;Visualizzare il file più scaricato;1 volta al giorno
